Designator,Mid X,Mid Y,Rotation,Layer
D167,128.0,-115.0,0.0,top
D168,131.0,-115.0,0.0,top
D169,134.0,-115.0,0.0,top
D170,137.0,-115.0,0.0,top
D171,140.0,-115.0,0.0,top
D172,143.0,-115.0,0.0,top
D173,146.0,-115.0,0.0,top
D174,149.0,-115.0,0.0,top
D175,152.0,-115.0,0.0,top
D176,155.0,-115.0,0.0,top
D177,158.0,-115.0,0.0,top
D178,161.0,-115.0,0.0,top
D179,164.0,-115.0,0.0,top
D180,167.0,-115.0,0.0,top
D181,170.0,-115.0,0.0,top
D182,173.0,-115.0,0.0,top
D183,176.0,-115.0,0.0,top
D184,179.0,-115.0,0.0,top
D185,97.0,-118.0,0.0,top
D186,100.0,-118.0,0.0,top
D187,103.0,-118.0,0.0,top
D188,106.0,-118.0,0.0,top
D189,109.0,-118.0,0.0,top
D190,112.0,-118.0,0.0,top
D191,115.0,-118.0,0.0,top
D192,118.0,-118.0,0.0,top
D193,121.0,-118.0,0.0,top
D194,124.0,-118.0,0.0,top
D195,127.0,-118.0,0.0,top
D196,130.0,-118.0,0.0,top
D201,133.0,-118.0,0.0,top
D202,136.0,-118.0,0.0,top
D203,139.0,-118.0,0.0,top
D204,142.0,-118.0,0.0,top
D205,145.0,-118.0,0.0,top
D206,148.0,-118.0,0.0,top
D207,151.0,-118.0,0.0,top
D208,154.0,-118.0,0.0,top
D209,157.0,-118.0,0.0,top
D210,160.0,-118.0,0.0,top
D211,163.0,-118.0,0.0,top
D212,166.0,-118.0,0.0,top
D213,169.0,-118.0,0.0,top
D214,172.0,-118.0,0.0,top
D215,175.0,-118.0,0.0,top
D216,178.0,-118.0,0.0,top
D217,93.0,-121.0,0.0,top
D218,96.0,-121.0,0.0,top
D219,99.0,-121.0,0.0,top
D220,102.0,-121.0,0.0,top
D221,105.0,-121.0,0.0,top
D222,108.0,-121.0,0.0,top
D223,111.0,-121.0,0.0,top
D224,114.0,-121.0,0.0,top
D225,117.0,-121.0,0.0,top
D226,120.0,-121.0,0.0,top
D227,123.0,-121.0,0.0,top
D228,126.0,-121.0,0.0,top
D229,129.0,-121.0,0.0,top
D230,132.0,-121.0,0.0,top
D231,135.0,-121.0,0.0,top
D232,138.0,-121.0,0.0,top
D233,141.0,-121.0,0.0,top
D234,144.0,-121.0,0.0,top
D235,147.0,-121.0,0.0,top
D236,150.0,-121.0,0.0,top
D237,153.0,-121.0,0.0,top
D238,156.0,-121.0,0.0,top
D239,159.0,-121.0,0.0,top
D240,162.0,-121.0,0.0,top
D241,165.0,-121.0,0.0,top
D242,168.0,-121.0,0.0,top
D243,171.0,-121.0,0.0,top
D244,174.0,-121.0,0.0,top
D245,177.0,-121.0,0.0,top
D246,92.0,-124.0,0.0,top
D247,95.0,-124.0,0.0,top
D248,98.0,-124.0,0.0,top
D249,101.0,-124.0,0.0,top
D250,104.0,-124.0,0.0,top
D251,107.0,-124.0,0.0,top
D252,110.0,-124.0,0.0,top
D253,113.0,-124.0,0.0,top
D254,116.0,-124.0,0.0,top
D255,119.0,-124.0,0.0,top
D256,122.0,-124.0,0.0,top
D257,125.0,-124.0,0.0,top
D258,128.0,-124.0,0.0,top
D259,131.0,-124.0,0.0,top
D260,134.0,-124.0,0.0,top
D261,137.0,-124.0,0.0,top
D262,140.0,-124.0,0.0,top
D263,143.0,-124.0,0.0,top
D264,146.0,-124.0,0.0,top
D265,149.0,-124.0,0.0,top
D266,152.0,-124.0,0.0,top
D267,155.0,-124.0,0.0,top
D268,158.0,-124.0,0.0,top
D269,161.0,-124.0,0.0,top
D270,164.0,-124.0,0.0,top
D271,167.0,-124.0,0.0,top
D272,170.0,-124.0,0.0,top
D273,173.0,-124.0,0.0,top
D274,176.0,-124.0,0.0,top
D275,91.0,-127.0,0.0,top
D276,94.0,-127.0,0.0,top
D277,97.0,-127.0,0.0,top
D278,100.0,-127.0,0.0,top
D279,103.0,-127.0,0.0,top
D280,106.0,-127.0,0.0,top
D281,109.0,-127.0,0.0,top
D282,112.0,-127.0,0.0,top
D283,115.0,-127.0,0.0,top
D284,118.0,-127.0,0.0,top
D285,121.0,-127.0,0.0,top
D286,124.0,-127.0,0.0,top
D287,127.0,-127.0,0.0,top
D288,130.0,-127.0,0.0,top
D289,133.0,-127.0,0.0,top
D290,136.0,-127.0,0.0,top
D291,139.0,-127.0,0.0,top
D292,142.0,-127.0,0.0,top
D293,145.0,-127.0,0.0,top
D294,148.0,-127.0,0.0,top
D295,151.0,-127.0,0.0,top
D296,154.0,-127.0,0.0,top
D301,157.0,-127.0,0.0,top
D302,160.0,-127.0,0.0,top
D303,163.0,-127.0,0.0,top
D304,166.0,-127.0,0.0,top
D305,169.0,-127.0,0.0,top
D306,172.0,-127.0,0.0,top
D307,175.0,-127.0,0.0,top
D308,90.0,-130.0,0.0,top
D309,93.0,-130.0,0.0,top
D310,96.0,-130.0,0.0,top
D311,99.0,-130.0,0.0,top
D312,102.0,-130.0,0.0,top
D313,105.0,-130.0,0.0,top
D314,108.0,-130.0,0.0,top
D315,111.0,-130.0,0.0,top
D316,114.0,-130.0,0.0,top
D317,117.0,-130.0,0.0,top
D318,120.0,-130.0,0.0,top
D319,123.0,-130.0,0.0,top
D320,126.0,-130.0,0.0,top
D321,129.0,-130.0,0.0,top
D322,132.0,-130.0,0.0,top
D323,135.0,-130.0,0.0,top
D324,138.0,-130.0,0.0,top
D325,141.0,-130.0,0.0,top
D326,144.0,-130.0,0.0,top
D327,147.0,-130.0,0.0,top
D328,150.0,-130.0,0.0,top
D329,153.0,-130.0,0.0,top
D330,156.0,-130.0,0.0,top
D331,159.0,-130.0,0.0,top
D332,162.0,-130.0,0.0,top
D333,165.0,-130.0,0.0,top
D334,168.0,-130.0,0.0,top
D335,171.0,-130.0,0.0,top
D336,174.0,-130.0,0.0,top
D337,89.0,-133.0,0.0,top
D338,92.0,-133.0,0.0,top
D339,95.0,-133.0,0.0,top
D340,98.0,-133.0,0.0,top
D341,101.0,-133.0,0.0,top
D342,104.0,-133.0,0.0,top
D343,107.0,-133.0,0.0,top
D344,110.0,-133.0,0.0,top
D345,113.0,-133.0,0.0,top
D346,116.0,-133.0,0.0,top
D347,119.0,-133.0,0.0,top
D348,122.0,-133.0,0.0,top
D349,125.0,-133.0,0.0,top
D350,128.0,-133.0,0.0,top
D351,131.0,-133.0,0.0,top
D352,134.0,-133.0,0.0,top
D353,137.0,-133.0,0.0,top
D354,140.0,-133.0,0.0,top
D355,143.0,-133.0,0.0,top
D356,146.0,-133.0,0.0,top
D357,149.0,-133.0,0.0,top
D358,152.0,-133.0,0.0,top
D359,155.0,-133.0,0.0,top
D360,158.0,-133.0,0.0,top
D361,161.0,-133.0,0.0,top
D362,164.0,-133.0,0.0,top
D363,167.0,-133.0,0.0,top
D364,170.0,-133.0,0.0,top
D365,173.0,-133.0,0.0,top
D366,88.0,-136.0,0.0,top
D367,91.0,-136.0,0.0,top
D368,94.0,-136.0,0.0,top
D369,97.0,-136.0,0.0,top
D370,100.0,-136.0,0.0,top
D371,103.0,-136.0,0.0,top
D372,106.0,-136.0,0.0,top
D373,109.0,-136.0,0.0,top
D374,112.0,-136.0,0.0,top
D375,115.0,-136.0,0.0,top
D376,118.0,-136.0,0.0,top
D377,121.0,-136.0,0.0,top
D378,124.0,-136.0,0.0,top
D379,127.0,-136.0,0.0,top
D380,130.0,-136.0,0.0,top
D381,133.0,-136.0,0.0,top
D382,136.0,-136.0,0.0,top
D383,139.0,-136.0,0.0,top
D384,142.0,-136.0,0.0,top
D385,145.0,-136.0,0.0,top
D386,148.0,-136.0,0.0,top
D387,151.0,-136.0,0.0,top
D388,154.0,-136.0,0.0,top
D389,157.0,-136.0,0.0,top
D390,160.0,-136.0,0.0,top
D391,163.0,-136.0,0.0,top
