Designator,Mid X,Mid Y,Rotation,Layer
D170,140.0,-115.0,180.0,bottom
D171,137.0,-115.0,180.0,bottom
D172,134.0,-115.0,180.0,bottom
D173,131.0,-115.0,180.0,bottom
D174,128.0,-115.0,180.0,bottom
D175,125.0,-115.0,180.0,bottom
D176,122.0,-115.0,180.0,bottom
D177,119.0,-115.0,180.0,bottom
D178,116.0,-115.0,180.0,bottom
D179,113.0,-115.0,180.0,bottom
D180,110.0,-115.0,180.0,bottom
D181,107.0,-115.0,180.0,bottom
D182,104.0,-115.0,180.0,bottom
D183,101.0,-115.0,180.0,bottom
D184,98.0,-115.0,180.0,bottom
D185,178.0,-118.0,180.0,bottom
D186,175.0,-118.0,180.0,bottom
D187,172.0,-118.0,180.0,bottom
D188,169.0,-118.0,180.0,bottom
D189,166.0,-118.0,180.0,bottom
D190,163.0,-118.0,180.0,bottom
D191,160.0,-118.0,180.0,bottom
D192,157.0,-118.0,180.0,bottom
D193,154.0,-118.0,180.0,bottom
D194,151.0,-118.0,180.0,bottom
D195,148.0,-118.0,180.0,bottom
D196,145.0,-118.0,180.0,bottom
D201,142.0,-118.0,180.0,bottom
D202,139.0,-118.0,180.0,bottom
D203,136.0,-118.0,180.0,bottom
D204,133.0,-118.0,180.0,bottom
D205,130.0,-118.0,180.0,bottom
D206,127.0,-118.0,180.0,bottom
D207,124.0,-118.0,180.0,bottom
D208,121.0,-118.0,180.0,bottom
D209,118.0,-118.0,180.0,bottom
D210,115.0,-118.0,180.0,bottom
D211,112.0,-118.0,180.0,bottom
D212,109.0,-118.0,180.0,bottom
D213,106.0,-118.0,180.0,bottom
D214,103.0,-118.0,180.0,bottom
D215,100.0,-118.0,180.0,bottom
D216,97.0,-118.0,180.0,bottom
D217,177.0,-121.0,180.0,bottom
D218,174.0,-121.0,180.0,bottom
D219,171.0,-121.0,180.0,bottom
D220,168.0,-121.0,180.0,bottom
D221,165.0,-121.0,180.0,bottom
D222,162.0,-121.0,180.0,bottom
D223,159.0,-121.0,180.0,bottom
D224,156.0,-121.0,180.0,bottom
D225,153.0,-121.0,180.0,bottom
D226,150.0,-121.0,180.0,bottom
D227,147.0,-121.0,180.0,bottom
D228,144.0,-121.0,180.0,bottom
D229,141.0,-121.0,180.0,bottom
D230,138.0,-121.0,180.0,bottom
D231,135.0,-121.0,180.0,bottom
D232,132.0,-121.0,180.0,bottom
D233,129.0,-121.0,180.0,bottom
D234,126.0,-121.0,180.0,bottom
D235,123.0,-121.0,180.0,bottom
D236,120.0,-121.0,180.0,bottom
D237,117.0,-121.0,180.0,bottom
D238,114.0,-121.0,180.0,bottom
D239,111.0,-121.0,180.0,bottom
D240,108.0,-121.0,180.0,bottom
D241,105.0,-121.0,180.0,bottom
D242,102.0,-121.0,180.0,bottom
D243,99.0,-121.0,180.0,bottom
D244,96.0,-121.0,180.0,bottom
D245,93.0,-121.0,180.0,bottom
D246,176.0,-124.0,180.0,bottom
D247,173.0,-124.0,180.0,bottom
D248,170.0,-124.0,180.0,bottom
D249,167.0,-124.0,180.0,bottom
D250,164.0,-124.0,180.0,bottom
D251,161.0,-124.0,180.0,bottom
